mes,Macau,Macau,Macau,Macau,Mossoró,Mossoró,Mossoró,Mossoró,,Reanálise Merra-2 
ano,Prec,UR,temp,Rad,Prec,UR,temp,Rad,,
out.-01,"7,57","41,91967742","29,54290323","34,2483871","8,88","69,57645161","26,74935484","34,48322581",,
nov.-01,"5,65","42,25033333","30,28","35,142","13,51","68,99","27,37066667","34,778",,
dez.-01,"42,4","48,8","29,83387097","35,77935484","34,37","73,79451613","27,57451613","35,47096774",,
jan.-02,"277,1","77,82064516","25,61193548","35,0516129","133,24","79,48903226","26,86516129","35,91064516",,
fev.-02,"99,95","75,72285714","25,48857143","34,43821429","65,09","76,54357143","27,235","35,55928571",,
mar.-02,"192,76","78,81193548","25,3916129","34,94387097","237,31","79,95193548","26,98967742","36,1316129",,
abr.-02,"159,11","81,50166667","24,864","35,134","134,35","80,387","26,846","36,22333333",,
mai.-02,"120,61","78,08451613","25,12129032","34,77387097","107,31","78,97774194","27,04935484","35,96483871",,
jun.-02,"25,44","67,79666667","25,34633333","34,35066667","195,46","80,21866667","25,971","35,475",,
jul.-02,"6,71","54,07935484","26,78516129","33,66580645","103,87","78,90677419","25,57548387","34,73096774",,
ago.-02,"0,43","44,9616129","27,39741935","32,95516129","99,88","75,1016129","25,35129032","34,38806452",,
set.-02,"0,67","40,449","28,56566667","33,58433333","2,59","66,87733333","26,11133333","33,44666667",,
out.-02,"4,23","41,1316129","29,70225806","33,87741935",18,"70,39225806","26,65","34,47483871",,
nov.-02,"3,05","41,71066667","29,99933333","34,26533333","32,52","70,657","26,92366667","34,35333333",,
dez.-02,"8,3","46,71709677","30,00516129","35,46354839","8,42","71,76645161","27,6316129","34,95903226",,
jan.-03,"109,37","57,15387097","28,56580645","34,98903226","73,32","72,57774194","27,57419355","34,92",,
fev.-03,"142,46","71,61357143","26,6675","35,58464286","122,07","77,1325","27,50214286","36,1025",,
mar.-03,"196,52","80,03354839","25,59258065","35,09290323","244,04","81,34677419","27,1216129","35,91580645",,
abr.-03,"131,69","79,02533333","25,505","35,021","141,92","81,24333333","27,092","36,12633333",,
mai.-03,"63,64","74,25967742","25,62709677","34,60387097","112,42","79,65129032","27,05548387","35,43774194",,
jun.-03,"22,92","60,62133333","26,17933333","33,94033333","142,34","80,323","26,02733333","35,53833333",,
jul.-03,"6,21","49,44322581","26,94709677","32,81806452","74,7","76,76","25,46451613","34,76709677",,
ago.-03,"2,49","44,08032258","28,05806452","33,13516129","32,58","72,73741935","25,8583871","34,12451613",,
set.-03,"1,71","41,79266667","29,05933333","33,29266667","16,6","70,16866667","26,431","34,09866667",,
out.-03,"0,56","39,33451613","30,0516129","34,0683871","10,45","67,76483871","27,07967742","34,1916129",,
nov.-03,"4,83","40,93166667","30,52033333","34,91166667","8,18","69,26433333","27,39233333","34,69166667",,
dez.-03,"15,32","44,62516129","30,35032258","35,09806452","21,94","70,93451613","27,71258065","35,30096774",,
